title;jobPost
Health Services;Job Title: spa therapist- Corfu Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire Corfu for the 2020: Spa Therapists Description Description:  Provision of beauty and wellness services (Massage, Face / Body Cares) Customer Service Qualifications: Holder of a degree in English Language School (Knowledge of Extra Language will be considered qualifications) Desired: Offers: Stable monthly earnings, insurance and bonusing education in all the service protocols of the company, a subtle work environment for continuous professional development interested parties can immediately send their resume with recent photo.
Health Services;Job Title: Spa Therapist - Corfu Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire Corfu Spa Therapist Description Duties: Provision of beauty and wellness services (massage, treatments Face / Body) Customer Service Required: and professionalism The company offers: Stable monthly earnings, insurance and bonus full training in all company service protocols of pleasant Work Environment Accuracy and Half Boarding Opportunities of continuous professional development Left.
Health Services;Job Title: Spa Therapist - Corfu Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire Corfu Spa Therapist Description Duties: Provision of beauty and wellness services (massage, treatments Face / Body) Customer Service Required: and professionalism The company offers: Stable monthly earnings, insurance and bonus full training in all company service protocols of pleasant Work Environment Accuracy and Half Boarding Opportunities of continuous professional development Left.
Health Services;Job Title: Spa Therapist - Corfu Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire Corfu Spa Therapist Description Duties: Provision of beauty and wellness services (massage, treatments Face / Body) Customer Service Required: and professionalism The company offers: Stable monthly earnings, insurance and bonus full training in all company service protocols of pleasant Work Environment Accuracy and Half Boarding Opportunities of continuous professional development Left.
Health Services;Job Title: Spa Therapist - Chania Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire directly to Chania Spa Therapist Description Duties: Provision of Beauty and Wellness Services Body, Massage) Customer Service, High level of Service Ensure Required: Owner of a degree in the corresponding school Excellent knowledge of English Language / Knowledge of addition : Fixed monthly earnings, insurance and bonus Full training in all the company's service protocols of pleasant Work Environment Accommodation and Half -Film Opportunities of continuous Vocational Development Possibility Ability Photo.
Health Services;Job Title: Spa Therapist - Chania Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire directly to Chania Spa Therapist Description Duties: Provision of Beauty and Wellness Services Body, Massage) Customer Service, High level of Service Ensure Required: Owner of a degree in the corresponding school Excellent knowledge of English Language / Knowledge of addition : Fixed monthly earnings, insurance and bonus Full training in all the company's service protocols of pleasant Work Environment Accommodation and Half -Film Opportunities of continuous Vocational Development Possibility Ability Photo.
Health Services;Job Title: Spa Therapist - Chania Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire directly to Chania Spa Therapist Description Duties: Provision of Beauty and Wellness Services Body, Massage) Customer Service, High level of Service Ensure Required: Owner of a degree in the corresponding school Excellent knowledge of English Language / Knowledge of addition : Fixed monthly earnings, insurance and bonus Full training in all the company's service protocols of pleasant Work Environment Accommodation and Half -Film Opportunities of continuous Vocational Development Possibility Ability Photo.
Health Services;Job Title: spa therapist - Mani Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire Mani Therapist Division immediately: Provision of beauty and wellness services (facilities Body, Massage) Customer Service, High level of Service Ensure Required: Owner of a degree in the corresponding school Excellent knowledge of English Language / Knowledge of addition : Fixed monthly earnings, insurance and bonus Full training in all the company's service protocols pleasant Work Environment Accommodation and Half Drop the photograph.
Health Services;Job Title: spa therapist - Mani Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire Mani Therapist Division immediately: Provision of beauty and wellness services (facilities Body, Massage) Customer Service, High level of Service Ensure Required: Owner of a degree in the corresponding school Excellent knowledge of English Language / Knowledge of addition : Fixed monthly earnings, insurance and bonus Full training in all the company's service protocols pleasant Work Environment Accommodation and Half Drop the photograph.
Health Services;Job Title: spa therapist - Mani Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire Mani Therapist Division immediately: Provision of beauty and wellness services (facilities Body, Massage) Customer Service, High level of Service Ensure Required: Owner of a degree in the corresponding school Excellent knowledge of English Language / Knowledge of addition : Fixed monthly earnings, insurance and bonus Full training in all the company's service protocols pleasant Work Environment Accommodation and Half Drop the photograph.
Health Services;Job Title: Spa Therapist - Santorini Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire Santorini Santorini Spa Therapist Description of Duties: Provision of beauty and wellness services Face / Body) Customer Service Required: and professionalism The company offers: Stable monthly earnings, insurance and bonus full training in all company service protocols of pleasant Work Environment Accommodation and Half Boarding Opportunities of continuous professional development. Interested parties can immediately send their resume with recent photo shelves.
Health Services;Job Title: Spa Therapist - Santorini Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire Santorini Santorini Spa Therapist Description of Duties: Provision of beauty and wellness services Face / Body) Customer Service Required: and professionalism The company offers: Stable monthly earnings, insurance and bonus full training in all company service protocols of pleasant Work Environment Accommodation and Half Boarding Opportunities of continuous professional development. Interested parties can immediately send their resume with recent photo shelves.
Health Services;Job Title: Spa Therapist - Santorini Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire Santorini Santorini Spa Therapist Description of Duties: Provision of beauty and wellness services Face / Body) Customer Service Required: and professionalism The company offers: Stable monthly earnings, insurance and bonus full training in all company service protocols of pleasant Work Environment Accommodation and Half Boarding Opportunities of continuous professional development. Interested parties can immediately send their resume with recent photo shelves.
Health Services;Job Title: Spa Therapist - Zakynthos Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire zakynthos spa therapist Description of Duties: Provision of beauty and wellness services (facilities / facilities / facilities / facilities Body, Massage) Customer Service, High level of Service Ensure Required: Owner of a degree in the corresponding school Excellent knowledge of English Language / Knowledge of addition : Fixed monthly earnings, insurance and bonus Full training in all the company's service protocols pleasant Work Environment Accommodation and Half Drop SAFETY photo.
Health Services;Job Title: Spa Therapist - Zakynthos Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire zakynthos spa therapist Description of Duties: Provision of beauty and wellness services (facilities / facilities / facilities / facilities Body, Massage) Customer Service, High level of Service Ensure Required: Owner of a degree in the corresponding school Excellent knowledge of English Language / Knowledge of addition : Fixed monthly earnings, insurance and bonus Full training in all the company's service protocols pleasant Work Environment Accommodation and Half Drop SAFETY photo.
Health Services;Job Title: Spa Therapist - Zakynthos Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire zakynthos spa therapist Description of Duties: Provision of beauty and wellness services (facilities / facilities / facilities / facilities Body, Massage) Customer Service, High level of Service Ensure Required: Owner of a degree in the corresponding school Excellent knowledge of English Language / Knowledge of addition : Fixed monthly earnings, insurance and bonus Full training in all the company's service protocols pleasant Work Environment Accommodation and Half Drop SAFETY photo.
Health Services;Job Title: Spa Therapist - Rethymnon Description: AEGEO SPAS- Leading Spa Management Solutions, the largest 4 and 5-star SPAS SPAS Hotel Management and Abroad SPAS Servicesface / body)
Health Services;Job Title: Spa Therapist - Chania Description: AEGEO SPAS- Leading Spa Management Solutions, the largest 4 and 5-star SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire directface / body)
Health Services;Job Title: Spa Therapist - Kavros Chania Description: AEGEO SPAS- Leading Spa Management Solutions, the largest 4 and 5-star SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire directface / body)
Health Services;Job Title: Spa Therapist - Kavros Chania Description: AEGEO SPAS- Leading Spa Management Solutions, the largest 4 and 5-star SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire directface / body)
Health Services;Job Title: Spa Therapist - Chania Description: AEGEO SPAS- Leading Spa Management Solutions, the largest 4 and 5-star SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire directface / body)
Health Services;Job Title: Spa Therapist - Heraklion Crete Description: AEGEO SPAS- Leading Spa Management Solutions, the largest 4 and 5-star SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire Heraklion Crete: Spa Therapist Description of Division: Provision of Beauty and Welfare Services Facial / Body Cares) Customer Service Required: Consistency and Professionalism The Company offers: Stable monthly earnings, insurance and bonus full training in all Company Service Protocols Pleasant Work Environment Accuracy and Half Boarding Opportunities of continuous professional development. Photo.
Health Services;Job Title: Spa Therapist - Heraklion Crete Description: AEGEO SPAS- Leading Spa Management Solutions, the largest 4 and 5-star SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire Heraklion Crete: Spa Therapist Description of Division: Provision of Beauty and Welfare Services Facial / Body Cares) Customer Service Required: Consistency and Professionalism The Company offers: Stable monthly earnings, insurance and bonus full training in all Company Service Protocols Pleasant Work Environment Accuracy and Half Boarding Opportunities of continuous professional development. Photo.
Health Services;Job Title: Spa Therapist - Rethymnon Description: AEGEO SPAS- Leading Spa Management Solutions, the largest 4-star SPAS SPAS SPAS Management and Management Company in Greece and abroad, wishes to hire Rethymnon immediately: Spa Therapist Description Duties: Provision of Beauty and Wellness Services (Massage, Caresface / body)
Health Services;Job Title: spa therapist Rethymnon-Chania Description: AEGEO SPAS-Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS SPAS Services Company in Greece and abroad, wishes to hire in Rethymno-Cavro-Chania for the 2020s: Spa Therapists Description Duties: Provision Beauty and Wellness Services (Massage, Facial / Body Cares) Customer Service: Payments, Insurance and Bonus Education in all Protocols of Services of the Company Subsequent Work Environment Education and continuous professional development interested parties can immediately send their resume with recent photography.
Health Services;Job Title: Aesthetic / Massers / Physiotherapists / Spa Therapists Description: Aesthetics / Massers / Physiotherapists / Spa Therapists Required for Massage by Spa Rethymnon (Bali), for Season 2020. Good knowledge English or French and basic computer knowledge.CV with a photo in e-mail: info@auralia.gr
Health Services;Job Title: nurses Description: AFFIDEA, a Greek subsidiary of the largest health provider in Europe, wishes to integrate its human resources: Nursing Home Staffing of the Department of Home Nursing in Attica. Employment in flexible hours and shifts Holder Holder of Driving Class BDA: Satisfactory earnings of Modern environment of High Requirements Excellent working conditions Continuous Education, Development and Development Please send a full resume by selecting application. Affidea's candidates, following the link that leads you to it.
Health Services;Job Title: 4 auxiliary doctors' positions in Kos General Description: Announcement of four (4) posts of auxiliary doctors of various specialties at the General Hospital - Kos Health Center incentives at the General Hospital - Kos Hippocrates Health Center announces that he is interested in the immediate recruitment of (4) four auxiliary physicians: - Pathology (1) - Nephrology (1) - Anesthesiology (1) Those who are interested in being recruited as auxiliary doctors, with a private -time employment relationship, full -time and full -time employment, with a three -year term to meet the UNHCR needs. Hippocrates, they are required to submit applications with the required supporting documents for their registration in the electronic list of auxiliary doctors maintained by the 2nd Piraeus and Aegean Ministry. The recruitment will be done immediately. For these positions, A & B 'Local Government Organizations may provide the auxiliary doctors with a € 450 per month allowance for the entire period of their three -year term in accordance with Law 4368/2016 article 43 paragraph 5. Interested parties can receive any additional information and information on incentives provided by the Human Resources Management Department at 2242360227 and the Commander's office at 2242360222.
Health Services;"Job Title: Pharmacist assistant in Northwestern Description: Area: NORTH SUPPLY PHARMACEUTICAL ASSISTANT WITH A WORLD WITHOUT WORK WITH FULL -CONSUMPTION TIMES SEE YOUR CV by clicking on the ""Apply"" tab or ""Interested in this position"" tab """
Health Services;Job Title: Spa Therapist - Halkidiki huts Description: Blue Lagoon Princess (Halkidiki huts), a member of the Blue Lagoon Group, receives applications for the 2020 summer season with the aim of covering the following location: Spa Therapist Position Code: Prispath2 Required Qualifications: At least 2 years of Spa. 5* or Wellness Center Excellent knowledge of English Language / Knowledge of another language will be considered an additional graduate of analogous school with a wide range Customer and Increasing Sales Group Spirit and the ability to cooperate with colleagues The company offers: Attractive Package of Benefits Pleasant Working Environment Evolution Evolution Eating Accommodation Interested parties are kindly requested to send their resume accompanied by recent photo. Alternatively they could submit their application either directly to the hotel offices or through a fax: 23710 51310. Your application will be treated with confidentiality, confidentiality and respect for your privacy.
Health Services;Job Title: Spa Therapist - Halkidiki huts Description: Blue Lagoon Princess (Halkidiki huts), a member of the Blue Lagoon Group, receives applications for the 2020 summer season with the aim of covering the following location: Spa Therapist Position Code: Prispath2 Required Qualifications: At least 2 years of Spa. 5* or Wellness Center Excellent knowledge of English Language / Knowledge of another language will be considered an additional graduate of analogous school with a wide range Customer and Increasing Sales Group Spirit and the ability to cooperate with colleagues The company offers: Attractive Package of Benefits Pleasant Working Environment Evolution Evolution Eating Accommodation Interested parties are kindly requested to send their resume accompanied by recent photo. Alternatively they could submit their application either directly to the hotel offices or through a fax: 23710 51310. Your application will be treated with confidentiality, confidentiality and respect for your privacy.
